alpha,pfail,budget_ref,n_failed_mean,n_failed_std,n_failed_p10,n_failed_p25,n_failed_p50,n_failed_p75,n_failed_p90,pr_post_cascade_mean,pr_post_cascade_std,pr_post_cascade_p10,pr_post_cascade_p25,pr_post_cascade_p50,pr_post_cascade_p75,pr_post_cascade_p90,feasibility_ratio_mean,feasibility_ratio_std,frac_infeasible,f_hopeless,f_trivial,f_ds,f_ambiguous,final_pr_degree_mean,final_pr_degree_std,final_pr_degree_p10,final_pr_degree_p25,final_pr_degree_p50,final_pr_degree_p75,final_pr_degree_p90,solved_frac_degree,final_pr_random_mean,final_pr_random_std,final_pr_random_p10,final_pr_random_p25,final_pr_random_p50,final_pr_random_p75,final_pr_random_p90,solved_frac_random,final_pr_betweenness_mean,final_pr_betweenness_std,final_pr_betweenness_p10,final_pr_betweenness_p25,final_pr_betweenness_p50,final_pr_betweenness_p75,final_pr_betweenness_p90,solved_frac_betweenness,spread_degree_random_mean,spread_degree_random_std,spread_degree_random_p25,spread_degree_random_p75,spread_betweenness_random_mean,cell_label,interestingness_degree,interestingness_betweenness,across_graph_std_pr_degree,within_graph_std_pr_degree,across_graph_std_nfailed,within_graph_std_nfailed
0.05,0.05,1,36.632,15.009949233758254,0.0,33.0,42.0,46.0,48.0,0.128,0.33408980828513757,0.0,0.0,0.0,0.0,1.0,7.3264,3.001989846751651,0.872,0.523,0.391,0.086,0.0,0.4667794966051904,0.474100083203493,0.0004322743127863391,0.0016659725114535606,0.1836032873109796,1.0,1.0,0.419,0.3935583259167464,0.4866492766758312,0.00047258979206049145,0.0009053870529651426,0.0019753086419753087,1.0,1.0,0.391,0.4716017038095871,0.4734703004124511,0.00041649312786339016,0.0013149243918474686,0.22574400470972705,1.0,1.0,0.419,0.07322117068844401,0.2114686535670581,0.0,0.0063377093707559975,0.07804337789284065,hopeless,0.05969596362673205,0.054281792955463294,0.19968578048752494,0.422092806128372,8.248392328205538,10.043860450628426
0.05,0.08,1,40.242,9.801705769915765,32.0,37.0,43.0,46.0,48.0,0.038,0.19119623427254,0.0,0.0,0.0,0.0,0.0,8.048399999999999,1.960341153983153,0.962,0.765,0.174,0.061,0.0,0.2279389737901455,0.39481133941631,0.0,0.00047258979206049145,0.0023629489603024575,0.1996806500377929,1.0,0.189,0.17615586764409363,0.37872500314418445,0.00047258979206049145,0.0008329862557267803,0.0012500000000000002,0.0025951557093425604,1.0,0.174,0.23470354520625653,0.39807264990863134,0.0,0.0004938271604938272,0.0022634676324128564,0.2615764245766896,1.0,0.192,0.05178310614605189,0.17398202096376353,-0.0005408328826392644,0.00488573407202216,0.05854767756216291,hopeless,0.040288378532745965,0.039393582468369014,0.1619751671286951,0.33439604791792954,6.6985696980773435,3.9879999999999995
0.05,0.1,1,41.193,7.462556599450352,32.0,37.0,43.0,46.0,48.10000000000002,0.013,0.11327400407860577,0.0,0.0,0.0,0.0,0.0,8.238599999999998,1.4925113198900704,0.987,0.857,0.094,0.049,0.0,0.13735646165397866,0.31854313875598417,0.0,0.00047258979206049145,0.0011111111111111111,0.014973958333333334,1.0,0.102,0.09566851665107154,0.2913900221995803,0.00047258979206049145,0.0008329862557267803,0.001189767995240928,0.002066115702479339,0.008419421487603341,0.094,0.13994897709656387,0.3217807691582576,0.0,0.00047258979206049145,0.00109638843819482,0.013600824161942957,1.0,0.104,0.0416879450029071,0.15511042739720715,-0.0006925207756232686,0.0019814814814814816,0.044280460445492324,hopeless,0.0323069708428213,0.03125941236816214,0.12584668959224296,0.24368518719386623,6.068957983047831,1.4170000000000003
0.05,0.12,1,41.522,6.500885785798732,33.0,37.0,43.0,46.0,48.10000000000002,0.005,0.07053367989832944,0.0,0.0,0.0,0.0,0.0,8.3044,1.3001771571597465,0.995,0.921,0.052,0.027,0.0,0.07698853948314212,0.24177242659734574,0.0,0.00047258979206049145,0.0009182736455463729,0.0044444444444444444,0.12188625904010537,0.055,0.053379746039890034,0.22170664779251406,0.0004938271604938272,0.0008650519031141869,0.0012494793835901704,0.001953125,0.003333333333333333,0.052,0.07848589640707564,0.2457393381845874,0.0,0.00047258979206049145,0.0008650519031141869,0.003748438150770512,0.12188625904010537,0.055,0.023608793443252077,0.10832010516079228,-0.0009053870529651427,0.0014985078053259874,0.0251061503671856,hopeless,0.01624825079566629,0.01567995897315875,0.08995137240579036,0.15693342686025755,5.927201363206754,0.594
0.05,0.15,1,41.649,6.0899752873061805,33.0,37.0,43.0,46.0,48.10000000000002,0.002,0.044676615807377355,0.0,0.0,0.0,0.0,0.0,8.329799999999999,1.2179950574612362,0.998,0.956,0.024,0.02,0.0,0.041403529052424747,0.1734113653038686,0.0,0.00047258979206049145,0.0008650519031141869,0.0026298487836949372,0.018238369857747037,0.027,0.025500223256889106,0.15281788977752608,0.0005165289256198347,0.0009053870529651426,0.0013020833333333333,0.0019060506261814744,0.0032873109796186717,0.024,0.043147593319038675,0.18022310426888738,0.0,0.00047258979206049145,0.0008650519031141869,0.0027700831024930744,0.016436554898093356,0.027,0.015903305795535633,0.08650658189163327,-0.0009765625,0.0010508534860646894,0.01764737006214957,hopeless,0.010974982848345319,0.011011945569236055,0.06770971070249161,0.09137107995187735,5.899838896105554,0.213
0.05,0.18,1,41.72,5.80530791603684,33.0,37.75,43.0,46.0,48.10000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.344,1.1610615832073683,1.0,0.982,0.008,0.01,0.0,0.01936251336056462,0.11515130650523969,0.0,0.0004938271604938272,0.0009182736455463729,0.0021633315305570576,0.008264462809917356,0.011,0.009602934159370727,0.08894836352502385,0.0006250000000000001,0.0009451795841209829,0.001358080579447714,0.001953125,0.0029641086654768993,0.008,0.020352671007010967,0.12126703072922687,0.0004,0.0004938271604938272,0.0009182736455463729,0.0022675736961451243,0.008316922778925631,0.011,0.009759579201193894,0.07424725981344374,-0.0009765625,0.0009086087011104502,0.010749736847640242,hopeless,0.006761540981029175,0.007479006135254509,0.04499677235948177,0.04263589434710765,5.805307916036839,0.0
0.05,0.2,1,41.72,5.80530791603684,33.0,37.75,43.0,46.0,48.10000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.344,1.1610615832073683,1.0,0.994,0.003,0.003,0.0,0.008834622648273624,0.06707653877962894,0.00041649312786339016,0.0004938271604938272,0.0009876543209876543,0.0022675736961451243,0.006574141709276845,0.003,0.004678989716251292,0.05461169492934125,0.0007266662484900116,0.0009451795841209829,0.001358080579447714,0.001972386587771203,0.0029641086654768993,0.003,0.008368206017365702,0.06671204619750705,0.00041649312786339016,0.0005165289256198347,0.0011111111111111111,0.002379535990481856,0.006417414170927688,0.003,0.004155632932022331,0.039284261953542135,-0.0009765625,0.0009451795841209829,0.003689216301114409,hopeless,0.0017992442736888042,0.0018442396823205767,0.02159099061487603,0.01978801384590642,5.805307916036839,0.0
0.08,0.05,1,36.392,15.248158446186215,0.0,33.0,42.0,46.0,48.0,0.13370352951329953,0.3399197986734263,0.0,0.0,0.0,0.0,1.0,7.2783999999999995,3.049631689237243,0.866,0.495,0.402,0.103,0.0,0.4930077857425415,0.4730180273197735,0.0004526935264825713,0.002049586776859504,0.3188412011299898,1.0,1.0,0.439,0.4055636985663852,0.48911597009357516,0.00047258979206049145,0.0009053870529651426,0.0021222484916052714,1.0,1.0,0.403,0.4993172928985199,0.47222974526520806,0.00045082695161209206,0.0019753086419753087,0.3522719563220706,1.0,1.0,0.44,0.08744408717615627,0.23699339611029568,0.0,0.01198084970497679,0.09375359433213466,mixed,0.07377980448609281,0.06954459134687595,0.1962560392006471,0.4249999435279087,8.208016569184055,10.537614733760352
0.08,0.08,1,39.952,10.318996850469528,32.0,37.0,43.0,46.0,48.0,0.04466687403675976,0.20580291281560326,0.0,0.0,0.0,0.0,0.0,7.990399999999999,2.0637993700939052,0.955,0.74,0.182,0.078,0.0,0.2507874390581641,0.4063715541536972,0.0,0.0005165289256198347,0.0037484381507705117,0.33207937965513723,1.0,0.207,0.1851805376440134,0.386228618585581,0.0004526935264825713,0.0008329862557267803,0.0012500000000000002,0.0027548209366391185,1.0,0.183,0.2578341487170157,0.41039746000350164,0.0,0.0005165289256198347,0.0036730945821854917,0.43455789473684214,1.0,0.211,0.06560690141415065,0.20348754345599565,-0.0004938271604938272,0.008018496654860291,0.07265361107300228,hopeless,0.0536250801728096,0.052520394716352545,0.16751174328693563,0.34931432957259184,6.651157493248825,4.858
0.08,0.1,1,41.066,7.7731360466673936,32.0,37.0,43.0,46.0,48.0,0.015861105611111526,0.12440724026628829,0.0,0.0,0.0,0.0,0.0,8.213199999999999,1.5546272093334788,0.984,0.832,0.098,0.07,0.0,0.159261719466216,0.3377908199194057,0.0,0.00047258979206049145,0.001546398326701357,0.03053209068676053,1.0,0.116,0.09975184935909877,0.2968474954257455,0.00047258979206049145,0.0008329862557267803,0.001189767995240928,0.0020775623268698058,0.09579861111111228,0.098,0.16199939605721658,0.3412948869292186,0.0,0.00047258979206049145,0.0015123456790123457,0.030277971596287163,1.0,0.119,0.05950987010711724,0.19297270518794166,-0.000594883997620464,0.0046865702479338845,0.06224754669811779,hopeless,0.0494365559431406,0.04804602152911025,0.13585509541202648,0.2652883586547368,6.05386190790639,1.798
0.08,0.12,1,41.392,6.859907871101477,33.0,37.0,43.0,46.0,48.0,0.00786407073505836,0.08759314422372412,0.0,0.0,0.0,0.0,0.0,8.2784,1.3719815742202954,0.992,0.905,0.053,0.042,0.0,0.0906024374205767,0.25926291864623024,0.0,0.00047258979206049145,0.0009765625,0.007019107439263619,0.2804040703916621,0.062,0.0544595454473336,0.22370868286589063,0.0004938271604938272,0.0008329862557267803,0.0012494793835901704,0.001953125,0.003333333333333333,0.053,0.09271279485527406,0.2635341269440646,0.0,0.00047258979206049145,0.0009182736455463729,0.005625,0.2816170752420867,0.063,0.03614289197324311,0.1446357106305344,-0.0008680555555555555,0.002716161158895427,0.038253249407940455,hopeless,0.02789037886960371,0.026652579184802575,0.10138709486707087,0.17482084798224995,5.89734991330852,0.9840000000000001
0.08,0.15,1,41.564,6.347747947106911,33.0,37.0,43.0,46.0,48.0,0.003907076406135865,0.061670893717303416,0.0,0.0,0.0,0.0,0.0,8.3128,1.2695495894213822,0.996,0.949,0.025,0.026,0.0,0.048767286023099175,0.18779013062085698,0.0,0.00047258979206049145,0.0009182736455463729,0.0036,0.02988396674413199,0.032,0.026483865543524155,0.1558912995696003,0.0004938271604938272,0.0008680555555555555,0.0012500000000000002,0.0018903591682419658,0.0032873109796186717,0.025,0.05050432731582153,0.1943018957643522,0.0,0.00047258979206049145,0.0009182736455463729,0.0036,0.025077673130193937,0.032,0.022283420479575017,0.10988577460729453,-0.0009451795841209829,0.001358080579447714,0.024020461772297375,hopeless,0.016203613551070174,0.016313856982636453,0.07210116661822058,0.10666000091707666,5.889558896895419,0.468
0.08,0.18,1,41.72,5.80530791603684,33.0,37.75,43.0,46.0,48.10000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.344,1.1610615832073683,1.0,0.978,0.008,0.014,0.0,0.02362619482127805,0.1255214474407907,0.0,0.0004938271604938272,0.0009317266148336779,0.0026298487836949372,0.010000000000000002,0.013,0.010595112815924353,0.09429636052913475,0.000594883997620464,0.0009150519974010653,0.0013149243918474686,0.001953125,0.0029856199646007327,0.009,0.024230016264281548,0.13086783495687884,0.0004,0.0004938271604938272,0.0009876543209876543,0.0027296416447948396,0.010000000000000002,0.013,0.013031082005353696,0.09429161597680448,-0.0009451795841209829,0.0010890271017366744,0.0136349034483572,hopeless,0.009727456301050775,0.010155738874257591,0.04820611753427411,0.051979228895191375,5.805307916036839,0.0
0.08,0.2,1,41.72,5.80530791603684,33.0,37.75,43.0,46.0,48.10000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.344,1.1610615832073683,1.0,0.991,0.003,0.006,0.0,0.012258270263013077,0.0818134262604938,0.0004,0.0004938271604938272,0.0010816657652785288,0.0026298487836949372,0.008303068432039816,0.005,0.004668488809212412,0.054612231779608306,0.0006925207756232686,0.0009451795841209829,0.001358080579447714,0.001972386587771203,0.0029744199881023203,0.003,0.01178626297603641,0.08154549709370632,0.00041649312786339016,0.0005165289256198347,0.0011337868480725622,0.0026298487836949372,0.007937557392102855,0.005,0.007589781453800664,0.06131680487040093,-0.0009451795841209829,0.0010816657652785288,0.007117774166823997,hopeless,0.004126151387439952,0.004171146796071725,0.02663424659086714,0.028483211426141377,5.805307916036839,0.0
0.1,0.05,1,35.379,16.169457597581932,0.0,33.0,42.0,46.0,48.0,0.15749437905193597,0.3622965538019818,0.0,0.0,0.0,0.0,1.0,7.075799999999999,3.2338915195163858,0.841,0.445,0.43,0.125,0.0,0.5403817611947553,0.4699826739852269,0.00047258979206049145,0.004047744795820847,0.8017847485127095,1.0,1.0,0.481,0.43831246542052454,0.49453896793437957,0.00047258979206049145,0.0009182736455463729,0.0025951557093425604,1.0,1.0,0.436,0.5450403032019038,0.4679399253942429,0.00047258979206049145,0.0036730945821854917,0.8263651356422224,1.0,1.0,0.481,0.10206929577423075,0.2795645716400701,0.0,0.015572916666666669,0.1067278377813792,mixed,0.09412755902647675,0.0865464259281552,0.18417675837632397,0.42828906885599594,8.232427284829184,12.18489793165555
0.1,0.08,1,39.292,11.383616999881891,31.0,36.0,43.0,46.0,48.0,0.059784499737045554,0.2346561820762464,0.0,0.0,0.0,0.0,0.0,7.8584,2.276723399976378,0.939,0.689,0.203,0.108,0.0,0.2960157242568785,0.42578095153798345,0.0,0.0005668934240362811,0.0087890625,0.9030796400951814,1.0,0.243,0.20831428865359097,0.40384247555716773,0.00047258979206049145,0.0008329862557267803,0.0013149243918474686,0.0036130752373995617,1.0,0.206,0.29926502703476526,0.42729206740818015,0.0,0.0005668934240362811,0.007856867283950617,0.9105885161447306,1.0,0.245,0.08770143560328754,0.24822662137413098,-0.00047258979206049145,0.01722081930415264,0.0909507383811742,hopeless,0.07708326133697467,0.07017340868823337,0.16919499979525426,0.3797572854137002,6.651761871865228,6.382121432113961
0.1,0.1,1,40.644,8.800299085826573,32.0,37.0,43.0,46.0,48.0,0.026222710340931356,0.157489460079109,0.0,0.0,0.0,0.0,0.0,8.1288,1.7600598171653143,0.973,0.791,0.116,0.093,0.0,0.19416713917971792,0.3652714195473575,0.0,0.0004938271604938272,0.002122898584937004,0.09454683233837753,1.0,0.144,0.11775966288001502,0.3196905797022832,0.0004526935264825713,0.0008329862557267803,0.0012000000000000001,0.0022325335747698806,1.0,0.116,0.19913616731781097,0.3702517957973491,0.0,0.0004938271604938272,0.001953125,0.11731802393524932,1.0,0.15,0.07640747629970292,0.22842036331223864,-0.0005408328826392644,0.009043307680700167,0.08137650443779594,hopeless,0.06749117307666036,0.06631145264539708,0.13933697329785305,0.3104401743566827,6.257768292290791,2.99
0.1,0.12,1,41.208,7.406938368853895,32.0,37.0,43.0,46.0,48.0,0.012559014713704585,0.10947921901912383,0.0,0.0,0.0,0.0,0.0,8.2416,1.4813876737707792,0.987,0.877,0.059,0.064,0.0,0.11641659293466707,0.29219132307634754,0.0,0.00047258979206049145,0.0013149243918474686,0.012956779342284452,0.5909864296310791,0.081,0.061509967103395444,0.2371302129318633,0.00047258979206049145,0.0008329862557267803,0.0012494793835901704,0.001972386587771203,0.0036730945821854917,0.06,0.12068547150739702,0.29838098041396527,0.0,0.00047258979206049145,0.0011337868480725622,0.010000000000000002,0.7046483079700121,0.082,0.05490662583127163,0.19377460327414728,-0.0008082465639316952,0.004900621957815035,0.05917550440400156,hopeless,0.046697517879373464,0.04291776603065715,0.10903066027349718,0.2180154218471357,6.0286263775424,1.536
