alpha,pfail,budget_ref,n_failed_mean,n_failed_std,n_failed_p10,n_failed_p25,n_failed_p50,n_failed_p75,n_failed_p90,pr_post_cascade_mean,pr_post_cascade_std,pr_post_cascade_p10,pr_post_cascade_p25,pr_post_cascade_p50,pr_post_cascade_p75,pr_post_cascade_p90,feasibility_ratio_mean,feasibility_ratio_std,frac_infeasible,f_hopeless,f_trivial,f_ds,f_ambiguous,final_pr_degree_mean,final_pr_degree_std,final_pr_degree_p10,final_pr_degree_p25,final_pr_degree_p50,final_pr_degree_p75,final_pr_degree_p90,solved_frac_degree,final_pr_random_mean,final_pr_random_std,final_pr_random_p10,final_pr_random_p25,final_pr_random_p50,final_pr_random_p75,final_pr_random_p90,solved_frac_random,final_pr_betweenness_mean,final_pr_betweenness_std,final_pr_betweenness_p10,final_pr_betweenness_p25,final_pr_betweenness_p50,final_pr_betweenness_p75,final_pr_betweenness_p90,solved_frac_betweenness,spread_degree_random_mean,spread_degree_random_std,spread_degree_random_p25,spread_degree_random_p75,spread_betweenness_random_mean,cell_label,interestingness_degree,interestingness_betweenness,across_graph_std_pr_degree,within_graph_std_pr_degree,across_graph_std_nfailed,within_graph_std_nfailed
0.05,0.05,1,38.333333333333336,15.990274822181414,0.0,34.0,46.0,49.0,49.1,0.13333333333333333,0.33993463423951903,0.0,0.0,0.0,0.0,1.0,7.666666666666669,3.1980549644362832,0.8666666666666667,0.5333333333333333,0.3333333333333333,0.13333333333333333,0.0,0.4447798374861625,0.46390067679107194,0.0003600000000000002,0.00047258979206049145,0.2281767713659606,1.0,1.0,0.4,0.3342610584195318,0.47075064437146896,0.00041649312786339016,0.0007478451424397371,0.0016271583336371102,1.0,1.0,0.3333333333333333,0.4590295082359685,0.46918542523677725,0.0,0.0005106923440453687,0.2281767713659606,1.0,1.0,0.4,0.11051877906663066,0.2593877696009192,0.0,0.019021739130434784,0.12476844981643667,hopeless,0.09074186791919035,0.10670743782062032,0.31285986781013203,0.29021237035272457,14.179797835888447,3.299831645537222
0.05,0.1,1,41.766666666666666,9.94546239358544,33.0,37.0,46.0,49.0,49.1,0.03333333333333333,0.17950549357115012,0.0,0.0,0.0,0.0,0.0,8.353333333333335,1.989092478717088,0.9666666666666667,0.8666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.1243354398894697,0.30128302426968295,0.0,0.00041649312786339016,0.0007304601899196495,0.002346808867445747,0.4950625000000007,0.06666666666666667,0.06786004508783208,0.2491256408602321,0.0007825000000000001,0.0008510864550363709,0.0012247396917950853,0.0017426405632793842,0.002762892718211502,0.06666666666666667,0.1336643529988694,0.30066259816699986,0.0,0.00042554322751818546,0.000781723222823215,0.002346808867445747,0.4950625000000007,0.06666666666666667,0.05647539480163763,0.19023393754317897,-0.0007826150474799124,0.0008969517980914747,0.06580430791103731,hopeless,0.04636882078359351,0.04636882078359351,0.173208636643879,0.14766205942440697,8.275868534480233,1.7441967269268173
0.05,0.15,1,43.0,6.324555320336759,33.0,37.0,46.0,49.0,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.600000000000001,1.264911064067352,1.0,1.0,0.0,0.0,0.0,0.002030246244198657,0.004295593936617457,0.0,0.00040412328196584753,0.0005487948960302458,0.0014790477949767637,0.0057288890045814255,0.0,0.0016700519784871705,0.0010103302047000998,0.0007825000000000001,0.0008510864550363709,0.0014177693761814744,0.0018365472910927458,0.00291721497208648,0.0,0.0019239387143963331,0.004235577528396569,0.0,0.00042554322751818546,0.0006250000000000001,0.0014790477949767637,0.003972174128548371,0.0,0.00036019426571148644,0.0042305207514865975,-0.0011362948960302458,-0.0001,0.0002538867359091627,hopeless,0.0,0.0,0.0025442408546468053,0.0019700042110919543,6.324555320336759,0.0
0.1,0.05,1,38.333333333333336,15.990274822181414,0.0,34.0,46.0,49.0,49.1,0.13333333333333333,0.33993463423951903,0.0,0.0,0.0,0.0,1.0,7.666666666666669,3.1980549644362832,0.8666666666666667,0.5,0.36666666666666664,0.13333333333333333,0.0,0.44675865673929993,0.46267239053718834,0.0003600000000000002,0.0012919423440453687,0.2391767713659606,1.0,1.0,0.4,0.36756605841953177,0.48121214133321166,0.00041649312786339016,0.0007478451424397371,0.0018634532296673558,1.0,1.0,0.36666666666666664,0.4600295082359685,0.4686823006097097,0.0,0.0005106923440453687,0.2391767713659606,1.0,1.0,0.4,0.07919259831976809,0.20144049662079783,0.0,0.0145561127688641,0.09246344981643667,mixed,0.06787686791919037,0.08384243782062033,0.31176535052005305,0.2904163115350754,14.179797835888447,3.299831645537222
0.1,0.1,1,41.766666666666666,9.94546239358544,33.0,37.0,46.0,49.0,49.1,0.03333333333333333,0.17950549357115012,0.0,0.0,0.0,0.0,0.0,8.353333333333335,1.989092478717088,0.9666666666666667,0.8333333333333334,0.1,0.06666666666666667,0.0,0.1331697405941862,0.3054802623357095,0.0003600000000000002,0.00041649312786339016,0.0018365472910927458,0.00515625,0.5000000000000008,0.1,0.10112395184580195,0.29962604166121715,0.0004490734866206532,0.0008329862557267803,0.0012247396917950853,0.0018365472910927458,0.10255198487712806,0.1,0.14232161927232115,0.3046789016426026,0.0003600000000000002,0.00042554322751818546,0.0017512599012731531,0.048437239691795086,0.5000000000000008,0.1,0.03204578874838428,0.09949218486477332,-0.00041649312786339016,0.0011734044337228734,0.04119766742651918,hopeless,0.025149654116926844,0.025149654116926844,0.1833263340871681,0.147140793621466,8.275868534480233,1.7441967269268173
0.1,0.15,1,43.0,6.324555320336759,33.0,37.0,46.0,49.0,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.600000000000001,1.264911064067352,1.0,1.0,0.0,0.0,0.0,0.0021613804876670526,0.004269701632227118,0.0,0.0004526935264825713,0.0006777300949598248,0.0018342625040448646,0.0057288890045814255,0.0,0.001581164131268502,0.0008427976858236841,0.0006077693526482572,0.0009914101356213996,0.0014177693761814744,0.0018365472910927458,0.002762892718211502,0.0,0.002301348794720845,0.004482437530577254,0.0003600000000000002,0.0004526935264825713,0.0006250000000000001,0.0018177693761814743,0.006663890045814243,0.0,0.0005802163563985506,0.004179911033424617,-0.0009451795841209829,0.00045856562601121614,0.0007201846634523429,hopeless,0.0,0.0,0.0023844286447131666,0.002147866795749254,6.324555320336759,0.0
0.15,0.05,1,33.56666666666667,18.93441898295858,0.0,33.0,43.0,47.0,49.1,0.2279744550881577,0.41347937083500225,0.0,0.0,0.0,0.0,1.0,6.713333333333335,3.7868837965917157,0.7666666666666667,0.4,0.5,0.1,0.0,0.5758579413379267,0.45963646019824933,0.00046533081285444236,0.01539073932311602,0.8850478967097042,1.0,1.0,0.5,0.5671765663678094,0.4949528112484104,0.00047060016550269944,0.0010088846880907372,1.0,1.0,1.0,0.5666666666666667,0.6324228852081701,0.4482687273111276,0.0017013232514177699,0.03862181001890359,1.0,1.0,1.0,0.5666666666666667,0.008681374970117213,0.3189126277754093,0.0,0.00140625,0.06524631884036058,mixed,0.0694865665264087,0.06296777974505967,0.3101155876078404,0.2757844915561889,14.231459673710368,7.802116949632951
0.15,0.1,1,39.13333333333333,13.992220060527288,29.900000000000013,34.0,46.0,48.5,49.1,0.0953448510829905,0.286235867077526,0.0,0.0,0.0,0.0,0.0920033319450242,7.826666666666669,2.7984440121054575,0.9,0.7333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.2465008093116497,0.38479298597623,0.0003600000000000002,0.00047258979206049145,0.004314154064272211,0.29934945215485753,1.0,0.16666666666666666,0.13466167037491258,0.3394158077031292,0.0007913369429404415,0.0009250001301900255,0.0014177693761814744,0.0023750000000000004,1.0,0.13333333333333333,0.28011182963308007,0.40505235300353654,0.0003600000000000002,0.00047258979206049145,0.010456516621540016,0.4175333333333333,1.0,0.2,0.11183913893673708,0.2495760860194525,-0.0003123698458975426,0.1025494252787557,0.14545015925816748,hopeless,0.08964698578428766,0.08964698578428766,0.2350625954115531,0.23419755058738495,9.67034412808332,5.468292441175967
0.15,0.15,1,43.0,6.324555320336759,33.0,37.0,46.0,49.0,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.600000000000001,1.264911064067352,1.0,0.9666666666666667,0.03333333333333333,0.0,0.0,0.04750257165578294,0.18031718119904036,0.0,0.000537057391525281,0.0018903591682419658,0.005818560434585785,0.05643481882548946,0.03333333333333333,0.034692550315215155,0.17925490066250424,0.0006077693526482572,0.0009086087011104502,0.0013040402897238571,0.0018365472910927458,0.0028466483011937572,0.03333333333333333,0.0480127479507815,0.17983581281335592,0.0003600000000000002,0.0005106923440453687,0.0018903591682419658,0.010037500000000003,0.052852977925864256,0.03333333333333333,0.012810021340567789,0.03495813461139095,-0.0009182736455463731,0.0033411611588954277,0.013320197635566345,hopeless,0.0,0.0,0.09809060266102844,0.05991906973596496,6.324555320336759,0.0
0.05,0.05,2,38.333333333333336,15.990274822181414,0.0,34.0,46.0,49.0,49.1,0.13333333333333333,0.33993463423951903,0.0,0.0,0.0,0.0,1.0,3.8333333333333344,1.5990274822181416,0.8666666666666667,0.03333333333333333,0.7,0.26666666666666666,0.0,0.9384496246706698,0.19718302614029645,0.8953213610586013,1.0,1.0,1.0,1.0,0.8666666666666667,0.7018377639293163,0.45547462217195983,0.0022261567859957676,0.011629107706499702,1.0,1.0,1.0,0.7,0.9374106750836596,0.19721963033870124,0.8650504200754413,1.0,1.0,1.0,1.0,0.8666666666666667,0.23661186074135374,0.40147477331058823,0.0,0.3477062664501007,0.23557291115434328,trivial,0.23539888027506514,0.2343599306880547,0.10472010938372638,0.08155409351118208,14.179797835888447,3.299831645537222
