graph_id,graph_seed,n,mean_degree,max_degree,alpha,pfail,budget_ref,scaled_budget,seed_index,env_seed,policy,n_failed_at_start,pr_post_cascade,feasibility_ratio,final_pr,n_active_final,solved,spread_vs_random,instance_label
0,2026000,33,3.757575757575758,11,0.05,0.05,1,1,0,202600000,betweenness,0,1.0,0.0,1.0,33,True,0.0,trivial
0,2026000,33,3.757575757575758,11,0.05,0.05,1,1,0,202600000,degree,0,1.0,0.0,1.0,33,True,0.0,trivial
0,2026000,33,3.757575757575758,11,0.05,0.05,1,1,0,202600000,random,0,1.0,0.0,1.0,33,True,0.0,trivial
0,2026000,33,3.757575757575758,11,0.05,0.05,1,1,1,202600001,betweenness,0,1.0,0.0,1.0,33,True,0.0,trivial
0,2026000,33,3.757575757575758,11,0.05,0.05,1,1,1,202600001,degree,0,1.0,0.0,1.0,33,True,0.0,trivial
0,2026000,33,3.757575757575758,11,0.05,0.05,1,1,1,202600001,random,0,1.0,0.0,1.0,33,True,0.0,trivial
0,2026000,33,3.757575757575758,11,0.05,0.05,1,1,2,202600002,betweenness,33,0.0,6.6,1.0,33,True,0.0,trivial
0,2026000,33,3.757575757575758,11,0.05,0.05,1,1,2,202600002,degree,33,0.0,6.6,1.0,33,True,0.0,trivial
0,2026000,33,3.757575757575758,11,0.05,0.05,1,1,2,202600002,random,33,0.0,6.6,1.0,33,True,0.0,trivial
1,2026001,40,3.8,17,0.05,0.05,1,1,0,202601000,betweenness,40,0.0,8.0,0.0006250000000000001,1,False,0.0,hopeless
1,2026001,40,3.8,17,0.05,0.05,1,1,0,202601000,degree,40,0.0,8.0,0.0,0,False,-0.0006250000000000001,hopeless
1,2026001,40,3.8,17,0.05,0.05,1,1,0,202601000,random,40,0.0,8.0,0.0006250000000000001,1,False,0.0,hopeless
1,2026001,40,3.8,17,0.05,0.05,1,1,1,202601001,betweenness,40,0.0,8.0,0.06375,12,False,0.06125,hopeless
1,2026001,40,3.8,17,0.05,0.05,1,1,1,202601001,degree,40,0.0,8.0,0.0037500000000000007,4,False,0.0012500000000000002,hopeless
1,2026001,40,3.8,17,0.05,0.05,1,1,1,202601001,random,40,0.0,8.0,0.0025000000000000005,2,False,0.0,hopeless
1,2026001,40,3.8,17,0.05,0.05,1,1,2,202601002,betweenness,40,0.0,8.0,1.0,40,True,0.99875,decision_sensitive
1,2026001,40,3.8,17,0.05,0.05,1,1,2,202601002,degree,40,0.0,8.0,1.0,40,True,0.99875,decision_sensitive
1,2026001,40,3.8,17,0.05,0.05,1,1,2,202601002,random,40,0.0,8.0,0.0012500000000000002,2,False,0.0,decision_sensitive
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,0,202602000,betweenness,46,0.0,9.2,0.39744801512287337,29,False,0.39697542533081287,decision_sensitive
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,0,202602000,degree,46,0.0,9.2,0.39744801512287337,29,False,0.39697542533081287,decision_sensitive
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,0,202602000,random,46,0.0,9.2,0.00047258979206049145,1,False,0.0,decision_sensitive
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,1,202602001,betweenness,46,0.0,9.2,0.01606805293005671,8,False,0.015122873345935728,hopeless
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,1,202602001,degree,46,0.0,9.2,0.01606805293005671,8,False,0.015122873345935728,hopeless
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,1,202602001,random,46,0.0,9.2,0.0009451795841209829,2,False,0.0,hopeless
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,2,202602002,betweenness,46,0.0,9.2,0.00047258979206049145,1,False,-0.0009451795841209829,hopeless
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,2,202602002,degree,46,0.0,9.2,0.00047258979206049145,1,False,-0.0009451795841209829,hopeless
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,2,202602002,random,46,0.0,9.2,0.0014177693761814744,3,False,0.0,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,0,202603000,betweenness,46,0.0,9.2,0.023156899810964086,7,False,0.020321361058601137,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,0,202603000,degree,46,0.0,9.2,0.023156899810964086,7,False,0.020321361058601137,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,0,202603000,random,46,0.0,9.2,0.0028355387523629487,6,False,0.0,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,1,202603001,betweenness,46,0.0,9.2,0.0,0,False,-0.0018903591682419658,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,1,202603001,degree,46,0.0,9.2,0.00047258979206049145,1,False,-0.0014177693761814744,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,1,202603001,random,46,0.0,9.2,0.0018903591682419658,4,False,0.0,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,2,202603002,betweenness,46,0.0,9.2,0.00047258979206049145,1,False,-0.00047258979206049145,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,2,202603002,degree,46,0.0,9.2,0.00047258979206049145,1,False,-0.00047258979206049145,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,2,202603002,random,46,0.0,9.2,0.0009451795841209829,2,False,0.0,hopeless
4,2026004,50,3.84,16,0.05,0.05,1,1,0,202604000,betweenness,50,0.0,10.0,0.0008,2,False,0.0,hopeless
4,2026004,50,3.84,16,0.05,0.05,1,1,0,202604000,degree,50,0.0,10.0,0.0004,1,False,-0.0004,hopeless
4,2026004,50,3.84,16,0.05,0.05,1,1,0,202604000,random,50,0.0,10.0,0.0008,2,False,0.0,hopeless
4,2026004,50,3.84,16,0.05,0.05,1,1,1,202604001,betweenness,50,0.0,10.0,0.29200000000000004,28,False,0.2912,hopeless
4,2026004,50,3.84,16,0.05,0.05,1,1,1,202604001,degree,50,0.0,10.0,0.29200000000000004,28,False,0.2912,hopeless
4,2026004,50,3.84,16,0.05,0.05,1,1,1,202604001,random,50,0.0,10.0,0.0008,2,False,0.0,hopeless
4,2026004,50,3.84,16,0.05,0.05,1,1,2,202604002,betweenness,50,0.0,10.0,0.0004,1,False,0.0,hopeless
4,2026004,50,3.84,16,0.05,0.05,1,1,2,202604002,degree,50,0.0,10.0,0.0004,1,False,0.0,hopeless
4,2026004,50,3.84,16,0.05,0.05,1,1,2,202604002,random,50,0.0,10.0,0.0004,1,False,0.0,hopeless
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,0,202605000,betweenness,33,0.0,6.6,0.004591368227731865,3,False,-0.003673094582185491,hopeless
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,0,202605000,degree,33,0.0,6.6,0.11294765840220385,13,False,0.10468319559228649,hopeless
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,0,202605000,random,33,0.0,6.6,0.008264462809917356,3,False,0.0,hopeless
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,1,202605001,betweenness,33,0.0,6.6,0.0,0,False,-0.0018365472910927458,hopeless
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,1,202605001,degree,33,0.0,6.6,0.0036730945821854917,2,False,0.0018365472910927458,hopeless
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,1,202605001,random,33,0.0,6.6,0.0018365472910927458,2,False,0.0,hopeless
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,2,202605002,betweenness,33,0.0,6.6,1.0,33,True,0.0,trivial
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,2,202605002,degree,33,0.0,6.6,1.0,33,True,0.0,trivial
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,2,202605002,random,33,0.0,6.6,1.0,33,True,0.0,trivial
6,2026006,37,3.7837837837837838,12,0.05,0.05,1,1,0,202606000,betweenness,37,0.0,7.4,0.16435354273192113,15,False,0.16362308254200147,hopeless
6,2026006,37,3.7837837837837838,12,0.05,0.05,1,1,0,202606000,degree,37,0.0,7.4,0.16435354273192113,15,False,0.16362308254200147,hopeless
6,2026006,37,3.7837837837837838,12,0.05,0.05,1,1,0,202606000,random,37,0.0,7.4,0.0007304601899196495,1,False,0.0,hopeless
6,2026006,37,3.7837837837837838,12,0.05,0.05,1,1,1,202606001,betweenness,0,1.0,0.0,1.0,37,True,0.0,trivial
6,2026006,37,3.7837837837837838,12,0.05,0.05,1,1,1,202606001,degree,0,1.0,0.0,1.0,37,True,0.0,trivial
6,2026006,37,3.7837837837837838,12,0.05,0.05,1,1,1,202606001,random,0,1.0,0.0,1.0,37,True,0.0,trivial
6,2026006,37,3.7837837837837838,12,0.05,0.05,1,1,2,202606002,betweenness,0,1.0,0.0,1.0,37,True,0.0,trivial
6,2026006,37,3.7837837837837838,12,0.05,0.05,1,1,2,202606002,degree,0,1.0,0.0,1.0,37,True,0.0,trivial
6,2026006,37,3.7837837837837838,12,0.05,0.05,1,1,2,202606002,random,0,1.0,0.0,1.0,37,True,0.0,trivial
7,2026007,49,3.836734693877551,18,0.05,0.05,1,1,0,202607000,betweenness,49,0.0,9.8,1.0,49,True,0.0,trivial
7,2026007,49,3.836734693877551,18,0.05,0.05,1,1,0,202607000,degree,49,0.0,9.8,1.0,49,True,0.0,trivial
7,2026007,49,3.836734693877551,18,0.05,0.05,1,1,0,202607000,random,49,0.0,9.8,1.0,49,True,0.0,trivial
7,2026007,49,3.836734693877551,18,0.05,0.05,1,1,1,202607001,betweenness,49,0.0,9.8,0.8063306955435235,44,False,0.8054977092877967,decision_sensitive
7,2026007,49,3.836734693877551,18,0.05,0.05,1,1,1,202607001,degree,49,0.0,9.8,0.3273635985006247,30,False,0.32653061224489793,decision_sensitive
7,2026007,49,3.836734693877551,18,0.05,0.05,1,1,1,202607001,random,49,0.0,9.8,0.0008329862557267803,2,False,0.0,decision_sensitive
7,2026007,49,3.836734693877551,18,0.05,0.05,1,1,2,202607002,betweenness,49,0.0,9.8,1.0,49,True,1.0,decision_sensitive
7,2026007,49,3.836734693877551,18,0.05,0.05,1,1,2,202607002,degree,49,0.0,9.8,1.0,49,True,1.0,decision_sensitive
7,2026007,49,3.836734693877551,18,0.05,0.05,1,1,2,202607002,random,49,0.0,9.8,0.0,0,False,0.0,decision_sensitive
8,2026008,49,3.836734693877551,12,0.05,0.05,1,1,0,202608000,betweenness,49,0.0,9.8,0.0,0,False,-0.00041649312786339016,hopeless
8,2026008,49,3.836734693877551,12,0.05,0.05,1,1,0,202608000,degree,49,0.0,9.8,0.0,0,False,-0.00041649312786339016,hopeless
8,2026008,49,3.836734693877551,12,0.05,0.05,1,1,0,202608000,random,49,0.0,9.8,0.00041649312786339016,1,False,0.0,hopeless
8,2026008,49,3.836734693877551,12,0.05,0.05,1,1,1,202608001,betweenness,49,0.0,9.8,0.00041649312786339016,1,False,0.0,hopeless
8,2026008,49,3.836734693877551,12,0.05,0.05,1,1,1,202608001,degree,49,0.0,9.8,0.00041649312786339016,1,False,0.0,hopeless
8,2026008,49,3.836734693877551,12,0.05,0.05,1,1,1,202608001,random,49,0.0,9.8,0.00041649312786339016,1,False,0.0,hopeless
8,2026008,49,3.836734693877551,12,0.05,0.05,1,1,2,202608002,betweenness,49,0.0,9.8,1.0,49,True,0.0,trivial
8,2026008,49,3.836734693877551,12,0.05,0.05,1,1,2,202608002,degree,49,0.0,9.8,1.0,49,True,0.0,trivial
8,2026008,49,3.836734693877551,12,0.05,0.05,1,1,2,202608002,random,49,0.0,9.8,1.0,49,True,0.0,trivial
9,2026009,47,3.8297872340425534,16,0.05,0.05,1,1,0,202609000,betweenness,47,0.0,9.4,0.0,0,False,-0.0004526935264825713,hopeless
9,2026009,47,3.8297872340425534,16,0.05,0.05,1,1,0,202609000,degree,47,0.0,9.4,0.0,0,False,-0.0004526935264825713,hopeless
9,2026009,47,3.8297872340425534,16,0.05,0.05,1,1,0,202609000,random,47,0.0,9.4,0.0004526935264825713,1,False,0.0,hopeless
9,2026009,47,3.8297872340425534,16,0.05,0.05,1,1,1,202609001,betweenness,47,0.0,9.4,1.0,47,True,0.0,trivial
9,2026009,47,3.8297872340425534,16,0.05,0.05,1,1,1,202609001,degree,47,0.0,9.4,1.0,47,True,0.0,trivial
