alpha,pfail,budget,regime_label,interestingness_score,final_anc_spread,solved_fraction_spread,rounds_spread,mean_final_anc,mean_solved_fraction,budget_sensitivity,best_policy,worst_policy,best_heuristic,best_heuristic_final_anc,rl_vs_best_heuristic_gap,random_final_anc_mean,random_final_anc_stderr,random_solved_fraction_mean,random_fully_restored_count,random_fully_restored_fraction,random_episode_count,random_unsolved_low_anc_count,random_unsolved_low_anc_fraction,random_final_anc_failure_threshold_used,random_rounds_when_solved_mean,random_rounds_mean,degree_final_anc_mean,degree_final_anc_stderr,degree_solved_fraction_mean,degree_fully_restored_count,degree_fully_restored_fraction,degree_episode_count,degree_unsolved_low_anc_count,degree_unsolved_low_anc_fraction,degree_final_anc_failure_threshold_used,degree_rounds_when_solved_mean,degree_rounds_mean,risk_final_anc_mean,risk_final_anc_stderr,risk_solved_fraction_mean,risk_fully_restored_count,risk_fully_restored_fraction,risk_episode_count,risk_unsolved_low_anc_count,risk_unsolved_low_anc_fraction,risk_final_anc_failure_threshold_used,risk_rounds_when_solved_mean,risk_rounds_mean,greedy_final_anc_mean,greedy_final_anc_stderr,greedy_solved_fraction_mean,greedy_fully_restored_count,greedy_fully_restored_fraction,greedy_episode_count,greedy_unsolved_low_anc_count,greedy_unsolved_low_anc_fraction,greedy_final_anc_failure_threshold_used,greedy_rounds_when_solved_mean,greedy_rounds_mean,betweenness_final_anc_mean,betweenness_final_anc_stderr,betweenness_solved_fraction_mean,betweenness_fully_restored_count,betweenness_fully_restored_fraction,betweenness_episode_count,betweenness_unsolved_low_anc_count,betweenness_unsolved_low_anc_fraction,betweenness_final_anc_failure_threshold_used,betweenness_rounds_when_solved_mean,betweenness_rounds_mean
0.1,0.05,1,decision-sensitive,0.4676017292026647,0.12304654356599315,0.05555555555555558,1.388888888888889,0.4392471196053929,0.34444444444444444,0.4858496222287161,greedy,random,greedy,0.5141503777712839,,0.39110383420529077,0.10545226514619359,0.3333333333333333,6,0.3333333333333333,18,12,0.6666666666666666,0.3,0.3333333333333333,1.4444444444444444,0.44446159822289827,0.09643385384380368,0.3333333333333333,6,0.3333333333333333,18,12,0.6666666666666666,0.3,0.3333333333333333,1.9444444444444444,0.41350750207674136,0.10186725059971083,0.3333333333333333,6,0.3333333333333333,18,12,0.6666666666666666,0.3,0.3333333333333333,1.6111111111111112,0.5141503777712839,0.09508879089563195,0.3888888888888889,7,0.3888888888888889,18,11,0.6111111111111112,0.3,2.5714285714285716,2.8333333333333335,0.43301228575075007,0.09808784729602303,0.3333333333333333,6,0.3333333333333333,18,12,0.6666666666666666,0.3,0.3333333333333333,2.111111111111111
0.1,0.05,2,decision-sensitive,0.3800559184782052,0.2576280928665525,0.2777777777777778,0.6666666666666667,0.8584873739548564,0.8333333333333333,0.4858496222287161,greedy,random,greedy,0.9531278168379305,,0.6954997239713779,0.10526563300116364,0.6666666666666666,12,0.6666666666666666,18,6,0.3333333333333333,0.3,1.3333333333333333,1.6111111111111112,0.9205227123989694,0.054521337511234606,0.8888888888888888,16,0.8888888888888888,18,2,0.1111111111111111,0.3,1.6875,1.7777777777777777,0.8127693124958613,0.08531404705896599,0.7777777777777778,14,0.7777777777777778,18,4,0.2222222222222222,0.3,1.1428571428571428,1.3333333333333333,0.9531278168379305,0.04687218316206959,0.9444444444444444,17,0.9444444444444444,18,1,0.05555555555555555,0.3,1.9411764705882353,2.0,0.910517304070143,0.06179153527527427,0.8888888888888888,16,0.8888888888888888,18,2,0.1111111111111111,0.3,1.75,1.8888888888888888
0.1,0.05,3,decision-sensitive,0.3355588930590596,0.25002638623834506,0.2777777777777778,0.5,0.9075228886474831,0.888888888888889,0.4858496222287161,greedy,random,greedy,1.0,,0.749973613761655,0.09852325926869789,0.7222222222222222,13,0.7222222222222222,18,5,0.2777777777777778,0.3,1.2307692307692308,1.5,0.9601236979166666,0.039876302083333336,0.9444444444444444,17,0.9444444444444444,18,1,0.05555555555555555,0.3,1.411764705882353,1.5,0.8673934336424269,0.072314521172468,0.8333333333333334,15,0.8333333333333334,18,3,0.16666666666666666,0.3,1.0666666666666667,1.2777777777777777,1.0,0.0,1.0,18,1.0,18,0,0.0,0.3,1.7777777777777777,1.7777777777777777,0.9601236979166666,0.039876302083333336,0.9444444444444444,17,0.9444444444444444,18,1,0.05555555555555555,0.3,1.588235294117647,1.6666666666666667
0.1,0.05,4,trivial,0.18417355767827015,0.09752019290524916,0.11111111111111116,0.05555555555555558,0.9705988634885536,0.9666666666666666,0.4858496222287161,degree,random,degree,1.0,,0.9024798070947508,0.06736948741321737,0.8888888888888888,16,0.8888888888888888,18,2,0.1111111111111111,0.3,0.8125,1.0,1.0,0.0,1.0,18,1.0,18,0,0.0,0.3,0.9444444444444444,0.9444444444444444,0.9505145103480171,0.04948548965198289,0.9444444444444444,17,0.9444444444444444,18,1,0.05555555555555555,0.3,0.9411764705882353,1.0,1.0,0.0,1.0,18,1.0,18,0,0.0,0.3,0.9444444444444444,0.9444444444444444,1.0,0.0,1.0,18,1.0,18,0,0.0,0.3,0.9444444444444444,0.9444444444444444
0.1,0.08,1,ambiguous,0.3953218876558877,0.03585976382231654,0.0,0.6666666666666667,0.3800985525220546,0.2777777777777778,0.5981021909907198,greedy,random,greedy,0.40189780900928024,,0.3660380451869637,0.09733475464241202,0.2777777777777778,5,0.2777777777777778,18,13,0.7222222222222222,0.3,0.6,1.2777777777777777,0.38497076142990566,0.09442415862828091,0.2777777777777778,5,0.2777777777777778,18,13,0.7222222222222222,0.3,0.6,1.7777777777777777,0.36872919207536553,0.09645253083613187,0.2777777777777778,5,0.2777777777777778,18,13,0.7222222222222222,0.3,0.6,1.3888888888888888,0.40189780900928024,0.09185320893966581,0.2777777777777778,5,0.2777777777777778,18,13,0.7222222222222222,0.3,0.6,1.9444444444444444,0.378856954908758,0.09511637366046297,0.2777777777777778,5,0.2777777777777778,18,13,0.7222222222222222,0.3,0.6,1.7777777777777777
0.1,0.08,2,decision-sensitive,0.5871406144807029,0.3956152722290076,0.4444444444444444,1.7222222222222223,0.755140700271762,0.7,0.5981021909907198,greedy,random,greedy,0.9108226669070368,,0.5152073946780292,0.10675517616690447,0.4444444444444444,8,0.4444444444444444,18,10,0.5555555555555556,0.3,1.0,1.7222222222222223,0.8385564844078631,0.07329052161261324,0.7777777777777778,14,0.7777777777777778,18,4,0.2222222222222222,0.3,2.2857142857142856,2.388888888888889,0.6825658792868443,0.09692778125409997,0.6111111111111112,11,0.6111111111111112,18,7,0.3888888888888889,0.3,2.0,2.0555555555555554,0.9108226669070368,0.061265331350560934,0.8888888888888888,16,0.8888888888888888,18,2,0.1111111111111111,0.3,3.5,3.4444444444444446,0.8285510760790367,0.07823448815242696,0.7777777777777778,14,0.7777777777777778,18,4,0.2222222222222222,0.3,3.0714285714285716,3.0555555555555554
0.1,0.08,3,decision-sensitive,0.5730888748015971,0.4796546929368978,0.5555555555555556,1.2222222222222223,0.8332489870333749,0.8,0.5981021909907198,greedy,random,greedy,1.0,,0.5203453070631022,0.1055319362570112,0.4444444444444444,8,0.4444444444444444,18,10,0.5555555555555556,0.3,0.875,1.7777777777777777,0.9601236979166666,0.039876302083333336,0.9444444444444444,17,0.9444444444444444,18,1,0.05555555555555555,0.3,2.411764705882353,2.4444444444444446,0.7256522322704391,0.09467272926763694,0.6666666666666666,12,0.6666666666666666,18,6,0.3333333333333333,0.3,2.0,2.111111111111111,1.0,0.0,1.0,18,1.0,18,0,0.0,0.3,2.7777777777777777,2.7777777777777777,0.9601236979166666,0.039876302083333336,0.9444444444444444,17,0.9444444444444444,18,1,0.05555555555555555,0.3,3.0,3.0
0.1,0.08,4,trivial,0.2172120989031388,0.10287090631864959,0.11111111111111116,0.11111111111111116,0.9599217801552202,0.9555555555555555,0.5981021909907198,degree,risk,degree,1.0,,0.9024798070947508,0.06736948741321737,0.8888888888888888,16,0.8888888888888888,18,2,0.1111111111111111,0.3,1.3125,1.4444444444444444,1.0,0.0,1.0,18,1.0,18,0,0.0,0.3,1.3333333333333333,1.3333333333333333,0.8971290936813504,0.07062588752635118,0.8888888888888888,16,0.8888888888888888,18,2,0.1111111111111111,0.3,1.3125,1.3888888888888888,1.0,0.0,1.0,18,1.0,18,0,0.0,0.3,1.3333333333333333,1.3333333333333333,1.0,0.0,1.0,18,1.0,18,0,0.0,0.3,1.3333333333333333,1.3333333333333333
0.1,0.1,1,decision-sensitive,0.3623541606847332,0.11199091408627312,0.05555555555555555,0.6666666666666667,0.2783313802035702,0.15555555555555553,0.6785683878099921,greedy,random,greedy,0.32143161219000793,,0.2094406981037348,0.07015785011347037,0.1111111111111111,2,0.1111111111111111,18,16,0.8888888888888888,0.3,0.0,1.3333333333333333,0.29687276960637815,0.07916422528595676,0.16666666666666666,3,0.16666666666666666,18,15,0.8333333333333334,0.3,0.6666666666666666,1.8888888888888888,0.2755121000060339,0.08112430873665961,0.16666666666666666,3,0.16666666666666666,18,15,0.8333333333333334,0.3,0.6666666666666666,1.5555555555555556,0.32143161219000793,0.07604231957041775,0.16666666666666666,3,0.16666666666666666,18,15,0.8333333333333334,0.3,0.6666666666666666,2.0,0.2883997211116963,0.07966762194072544,0.16666666666666666,3,0.16666666666666666,18,15,0.8333333333333334,0.3,0.6666666666666666,1.8333333333333333
0.1,0.1,2,decision-sensitive,0.5692088637647756,0.2720897214586374,0.2777777777777778,1.3888888888888888,0.6946183185471424,0.6333333333333333,0.6785683878099921,greedy,random,greedy,0.7843143088794243,,0.5122245874207869,0.10724658476638538,0.4444444444444444,8,0.4444444444444444,18,10,0.5555555555555556,0.3,1.375,1.7777777777777777,0.7812374630621486,0.08566112583410221,0.7222222222222222,13,0.7222222222222222,18,5,0.2777777777777778,0.3,3.230769230769231,2.8333333333333335,0.628104032565689,0.10116171768174023,0.5555555555555556,10,0.5555555555555556,18,8,0.4444444444444444,0.3,2.2,2.0555555555555554,0.7843143088794243,0.08442984516436534,0.7222222222222222,13,0.7222222222222222,18,5,0.2777777777777778,0.3,2.6153846153846154,2.5,0.7672112008076628,0.09110986092658577,0.7222222222222222,13,0.7222222222222222,18,5,0.2777777777777778,0.3,3.6923076923076925,3.1666666666666665
