round,policy,mean_anc,n_episodes
0,rl,0.517143,162
1,rl,0.500881,138
2,rl,0.620682,89
3,rl,0.653593,59
4,rl,0.711127,47
5,rl,0.753128,37
6,rl,0.706195,25
7,rl,0.734254,22
8,rl,0.780676,19
9,rl,0.831196,17
10,rl,0.836402,12
11,rl,0.832294,8
12,rl,0.886505,7
13,rl,0.870202,4
14,rl,0.891174,3
15,rl,0.916560,2
16,rl,1.000000,2
0,degree,0.568027,162
1,degree,0.566313,148
2,degree,0.649962,116
3,degree,0.679504,84
4,degree,0.731825,74
5,degree,0.738735,59
6,degree,0.752353,47
7,degree,0.810990,43
8,degree,0.829467,32
9,degree,0.884244,27
10,degree,0.934893,21
11,degree,0.956700,12
12,degree,0.940233,4
13,degree,0.986533,3
14,degree,1.000000,1
0,random,0.330210,162
1,random,0.226326,83
2,random,0.384353,22
3,random,0.561020,4
4,random,0.766159,3
5,random,0.680000,2
6,random,0.222222,1
0,risk,0.391486,162
1,risk,0.337745,99
2,risk,0.556931,36
3,risk,0.651663,24
4,risk,0.698000,18
5,risk,0.743236,16
6,risk,0.746808,12
7,risk,0.815992,11
8,risk,0.865715,9
9,risk,0.896323,7
10,risk,0.833049,3
11,risk,0.911565,3
12,risk,0.806331,1
13,risk,0.881299,1
14,risk,0.959600,1
15,risk,1.000000,1
0,greedy,0.593789,162
1,greedy,0.619517,152
2,greedy,0.688697,125
3,greedy,0.728758,94
4,greedy,0.768028,81
5,greedy,0.776139,62
6,greedy,0.774951,45
7,greedy,0.821439,38
8,greedy,0.890594,35
9,greedy,0.921234,25
10,greedy,0.920428,13
11,greedy,0.930445,7
12,greedy,0.972448,6
13,greedy,1.000000,2
0,betweenness,0.563001,162
1,betweenness,0.550759,148
2,betweenness,0.615609,114
3,betweenness,0.679092,82
4,betweenness,0.720420,71
5,betweenness,0.723234,56
6,betweenness,0.742424,46
7,betweenness,0.791710,41
8,betweenness,0.826059,33
9,betweenness,0.844378,24
10,betweenness,0.896511,20
11,betweenness,0.937220,15
12,betweenness,0.939628,7
13,betweenness,0.922144,3
14,betweenness,0.960800,2
15,betweenness,1.000000,1
