alpha,pfail,budget_ref,f_hopeless,f_trivial,f_ds,f_ambiguous,final_pr_degree_mean,final_pr_degree_std,final_pr_degree_p10,final_pr_degree_p25,final_pr_degree_p50,final_pr_degree_p75,final_pr_degree_p90,solved_frac_degree,final_pr_random_mean,final_pr_random_std,final_pr_random_p10,final_pr_random_p25,final_pr_random_p50,final_pr_random_p75,final_pr_random_p90,solved_frac_random,final_pr_betweenness_mean,final_pr_betweenness_std,final_pr_betweenness_p10,final_pr_betweenness_p25,final_pr_betweenness_p50,final_pr_betweenness_p75,final_pr_betweenness_p90,solved_frac_betweenness,final_pr_greedy_mean,final_pr_greedy_std,final_pr_greedy_p10,final_pr_greedy_p25,final_pr_greedy_p50,final_pr_greedy_p75,final_pr_greedy_p90,solved_frac_greedy,final_pr_risk_mean,final_pr_risk_std,final_pr_risk_p10,final_pr_risk_p25,final_pr_risk_p50,final_pr_risk_p75,final_pr_risk_p90,solved_frac_risk,spread_degree_random_mean,spread_degree_random_std,spread_degree_random_p25,spread_degree_random_p75,spread_betweenness_random_mean,cell_label,interestingness_degree,interestingness_betweenness,across_graph_std_pr_degree,within_graph_std_pr_degree
0.05,0.05,1,0.526,0.39,0.084,0.0,0.5359504164959651,0.4271694048824109,0.0930529300567108,0.1162190082644628,0.26538108356290174,1.0,1.0,0.45,0.44008144214791833,0.450516670197263,0.024535538175965776,0.048325033952014484,0.13300619834710745,1.0,1.0,0.39,0.5378618680609909,0.42735660141747,0.09262759924385634,0.11650269971632393,0.292654724220087,1.0,1.0,0.454,0.5884774562985897,0.40567581625268817,0.12036651395251978,0.16000000000000003,0.497370151216305,1.0,1.0,0.474,0.43210875929048237,0.4544268568164145,0.022121875000000003,0.04106292659082217,0.12312583448823688,1.0,1.0,0.388,0.09586897434804678,0.22504577544000157,0.0,0.07762751136558921,0.09778042591307255,hopeless,0.214,0.06141010253673498,0.22741325754259814,0.34071385801105086
0.05,0.08,1,0.75,0.162,0.088,0.0,0.33833808358111056,0.3544637234843358,0.0941274468971262,0.1111111111111111,0.1522903033908388,0.3242901234567901,1.0,0.214,0.23488516885927696,0.3423191014859127,0.021597643349481607,0.03943188301756397,0.08570379273504275,0.1766120344721453,1.0,0.162,0.34884157880033595,0.35999280094779706,0.09679012345679013,0.1111111111111111,0.15446813357141737,0.36182736455463727,1.0,0.226,0.410711785769087,0.36019129509328685,0.11515111111111116,0.13798452594310928,0.20975754659272772,0.9101273629245658,1.0,0.246,0.23021564707914718,0.3433880998442994,0.021924114952103297,0.03487476370510397,0.07718670147293753,0.1718866188280785,1.0,0.162,0.10345291472183357,0.20675902446751396,0.0,0.09641335227272727,0.11395640994105892,hopeless,0.206,0.06352028808578356,0.1962734472417311,0.2457335223382781
0.05,0.1,1,0.844,0.09,0.066,0.0,0.27002267102191635,0.29347615614922135,0.09631519274376418,0.1111111111111111,0.14512471655328796,0.23507805325987147,1.0,0.13,0.17144857549264086,0.2692614531076745,0.022207867701252198,0.038992170078634536,0.07537355243921207,0.1396234619596727,0.3037032026823914,0.09,0.27558359247820463,0.29822247454862283,0.09765625,0.11588954277953825,0.14512471655328796,0.23507805325987147,1.0,0.136,0.3300327387299935,0.3076323197632195,0.11515111111111116,0.13798452594310928,0.18367346938775508,0.33557196494259434,1.0,0.15,0.16663519554603612,0.27224597948492885,0.022031123242293137,0.03321532694710537,0.07239622391263612,0.13544536271809,0.29022222222222305,0.092,0.09857409552927551,0.18010564258913467,0.01937213927168498,0.09778985507246377,0.1041350169855638,hopeless,0.15400000000000003,0.04532171833228959,0.16920293177522672,0.17423716690446273
0.05,0.12,1,0.914,0.042,0.044,0.0,0.21632814917570742,0.21715964874290494,0.10185604345857856,0.11560000000000002,0.140625,0.21301775147928997,0.32111111111111107,0.062,0.1323172132342316,0.1952308581483352,0.023160493827160497,0.041544013049519636,0.07751645240281604,0.13781163434903046,0.23865960555149776,0.042,0.217378340705726,0.22205189133549336,0.10185604345857856,0.11588954277953825,0.140625,0.21158168403490651,0.32111111111111107,0.066,0.2760001961537089,0.24633361695980738,0.11588954277953825,0.140625,0.1782716049382716,0.2807642530817474,0.5910752984389356,0.082,0.11643467357967632,0.18557130252478118,0.022135416666666668,0.03160493827160494,0.06844747160627367,0.12226685570258349,0.18365660313712262,0.038,0.08401093594147578,0.13541911706742576,0.02854574695643724,0.09592078437933768,0.08506112747149439,hopeless,0.084,0.024246144427906607,0.13637299376205492,0.09799393132644099
0.05,0.15,1,0.948,0.022,0.03,0.0,0.19802388949141306,0.17995746561673884,0.1024,0.12098298676748581,0.14294312330348366,0.19753086419753085,0.28444444444444444,0.04,0.11823287036143328,0.15197095879533074,0.023864039683612764,0.04377070854638423,0.07854232684472613,0.13706998847706478,0.23601792210249312,0.022,0.19934645212439023,0.18238970547113753,0.10633270321361059,0.12098298676748581,0.14271604938271604,0.19753086419753085,0.28444444444444444,0.042,0.24984696456862826,0.20426924931087154,0.12641975308641976,0.14512471655328796,0.1752298539751217,0.26538108356290174,0.4011111111111111,0.052,0.10539937836977308,0.14785688169638814,0.01991154077536389,0.031684027777777776,0.07282438901486521,0.12654320987654322,0.18371329247952628,0.022,0.07979101912997981,0.12662409691583457,0.028611404523581983,0.09835571625344354,0.08111358176295695,hopeless,0.07,0.01946703221940993,0.11806829725681323,0.07091503758458265
0.05,0.18,1,0.982,0.01,0.008,0.0,0.18149005632775153,0.13018648490812573,0.10662224073302788,0.12098298676748581,0.14476235827664397,0.1945827160493827,0.26638917793964617,0.018,0.10928788093324446,0.11760904785566423,0.024783185389245992,0.04254816393838234,0.07854232684472613,0.1428395061728395,0.22174355266003462,0.01,0.18218870262053213,0.1286579151602312,0.1111111111111111,0.12168739859383451,0.14512471655328796,0.19274241522903035,0.26745109117061255,0.018,0.2195933617076035,0.13647012791974453,0.1296,0.1466727025803531,0.1752298539751217,0.25,0.33714880332986474,0.018,0.09361106796862818,0.11706902084875037,0.020968111307292252,0.03119092627599244,0.06629890773656977,0.12215335169880624,0.18273645546372821,0.012,0.07220217539450711,0.09705916310053889,0.029194878472222227,0.09876689070923474,0.07290082168728769,hopeless,0.026000000000000002,0.007335197054028223,0.09253578749973826,0.0419065724731639
0.05,0.2,1,0.994,0.004,0.002,0.0,0.1746556063491542,0.09566600007365299,0.10662224073302788,0.1254340277777778,0.14512471655328796,0.19753086419753085,0.26538108356290174,0.006,0.1072206671245641,0.09436939581528377,0.026155555555555557,0.04580808080808081,0.08358936262170309,0.14536157779401024,0.2224048442906575,0.004,0.1751742840092892,0.09362477339075026,0.1111111111111111,0.1254340277777778,0.14512471655328796,0.19753086419753085,0.26548189300057623,0.006,0.21115582413183429,0.10784018934259963,0.13082842915346313,0.1466727025803531,0.1752298539751217,0.2373438527284681,0.33149678604224064,0.006,0.08701436723052985,0.08450593642818827,0.020968111307292252,0.03119092627599244,0.06722498868266183,0.12215335169880624,0.1747818680849246,0.004,0.06743493922459011,0.07306286851623073,0.028079269391580154,0.09786003201555041,0.06795361688472505,hopeless,0.006,0.001726354453627181,0.07169888884847457,0.030168549686318942
0.08,0.05,1,0.496,0.4,0.104,0.0,0.556744551260387,0.4285633420467932,0.09126068144943213,0.11703601108033242,0.3599242603592746,1.0,1.0,0.476,0.449667801522729,0.4521700317853428,0.025273063189115597,0.05183996755002704,0.13616554616932353,1.0,1.0,0.4,0.560452692930163,0.4282197590145976,0.09140075716603568,0.12098298676748581,0.36730945821854916,1.0,1.0,0.48,0.614442282112027,0.4043182710483977,0.11588954277953825,0.1671658417119589,1.0,1.0,1.0,0.504,0.4464741461769823,0.4545986375563736,0.022490628904623073,0.04827759312521983,0.1324896694214876,1.0,1.0,0.4,0.10707674973765798,0.24561259130226087,0.0,0.07762751136558921,0.11078489140743394,mixed,0.27199999999999996,0.07835197667900919,0.22359084285996048,0.346853341278204
0.08,0.08,1,0.726,0.174,0.1,0.0,0.36035581665703914,0.367016348441123,0.0937109537692628,0.1111111111111111,0.15581717451523547,0.5349256415689982,1.0,0.238,0.24646385401849852,0.3517073593977975,0.0222078677012522,0.040021633315305574,0.089261103566219,0.19909925784837007,1.0,0.174,0.37056087062241283,0.37166521715758233,0.0937109537692628,0.1111111111111111,0.16409287113920318,0.854043392504931,1.0,0.25,0.4364158475259233,0.36901867814560113,0.11560000000000002,0.1384532179556517,0.2250008656509695,1.0,1.0,0.27,0.2330050346655862,0.3470172580232833,0.01999461211854157,0.03181297370344721,0.0756129242330541,0.17400225340680936,1.0,0.166,0.11389196263854062,0.23227770936522046,0.0,0.09631076388888889,0.12409701660391434,hopeless,0.244,0.07218865366513558,0.20221657447051433,0.2638033027583542
0.08,0.1,1,0.82,0.096,0.084,0.0,0.2866858654286041,0.310313808405148,0.0937109537692628,0.1111111111111111,0.14512471655328796,0.25,1.0,0.15,0.1774509665466512,0.27657147799462733,0.022207867701252198,0.03904996141975309,0.07837293388429753,0.14271604938271604,0.36,0.096,0.2921387732001635,0.3146692603017266,0.09679012345679013,0.11447777777777779,0.14414745688876962,0.25,1.0,0.156,0.3519029071394899,0.32322765428274325,0.11560000000000002,0.136578449905482,0.19207433261451518,0.4011111111111111,1.0,0.174,0.1722780854644882,0.27733161368046666,0.019801512287334594,0.03211805555555555,0.07321602110231848,0.143125,0.3386878292468786,0.096,0.10923489888195281,0.20102121334997025,0.015629861181936995,0.09768663194444444,0.11468780665351229,hopeless,0.202,0.05648910600130792,0.17742334907452245,0.19415254175599114
